shoes,epidemic,pandemic,total disease mention,immigration,Travel,total trave mentions
998,171,0,171,861,2611,3472
974,181,1,182,705,2523,3228
759,206,3,209,835,2385,3220
677,161,2,163,868,2386,3254
596,131,4,135,660,2435,3095
642,172,2,174,728,2737,3465
846,125,0,125,809,2958,3767
838,296,7,303,692,3407,4099
621,141,0,141,437,2751,3188
650,135,0,135,479,3144,3623
664,141,3,144,482,3279,3761
622,129,0,129,462,3170,3632
867,153,3,156,415,3137,3552
683,144,2,146,314,2531,2845
722,117,0,117,317,2927,3244
726,118,0,118,414,2580,2994
918,123,3,126,316,3112,3428
946,141,3,144,311,2974,3285
682,208,5,213,386,2850,3236
708,196,9,205,306,2520,2826
907,273,7,280,351,2643,2994
699,216,4,220,373,2669,3042
774,218,5,223,521,2660,3181
861,233,7,240,407,2940,3347
850,227,5,232,402,2676,3078
844,199,7,206,525,2681,3206
876,282,45,327,460,2626,3086
1167,220,13,233,556,3036,3592
799,150,3,153,364,2266,2630
1068,196,8,204,546,2924,3470
1010,202,3,205,865,2928,3793
1020,168,3,171,828,3420,4248
835,173,4,177,922,3539,4461
790,158,3,161,580,3139,3719
859,172,7,179,684,2818,3502
1009,257,3,260,684,3421,4105
1019,329,8,337,972,3489,4461
994,451,7,458,954,3387,4341
1091,386,12,398,670,3364,4034
1045,462,8,470,716,3655,4371
921,436,11,447,775,3460,4235
888,402,10,412,658,3550,4208
1074,400,8,408,657,3286,3943
1019,380,17,397,878,3302,4180
1042,351,13,364,1218,3296,4514
994,300,7,307,996,3188,4184
1080,329,8,337,1284,3644,4928
1172,302,16,318,1159,3609,4768
1207,344,31,375,893,3982,4875
1280,340,23,363,1334,4130,5464
1290,409,19,428,1553,4396,5949
1372,551,38,589,1459,5052,6511
1317,423,23,446,1561,4768,6329
1409,669,64,733,1187,5061,6248
1356,427,78,505,1462,4721,6183
1443,472,214,686,1150,4985,6135
1527,435,204,639,2078,5173,7251
1615,430,94,524,2608,6134,8742
1994,483,49,532,1900,6496,8396
1967,563,326,889,1501,6692,8193
3053,771,110,881,2966,8665,11631
3174,682,122,804,2745,8966,11711
2828,640,110,750,2703,8347,11050
2387,726,127,853,3708,8764,12472
1970,932,84,1016,3512,8883,12395
